IssueId,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
918,Improvement,Closed,Fixed,Test,Major,Person 406,2006/02/03 22:12:15 +0100,2006/02/03 22:12:15 +0100,Person 406,2006/04/11 18:05:12 +0100
924,Improvement,Closed,Fixed,JDBC,Major,Person 401,2006/02/04 10:59:45 +0100,2006/02/24 04:03:27 +0100,Person 384,2006/04/12 17:41:19 +0100
939,Bug,Closed,Fixed,SQL,Minor,Person 472,2006/02/11 03:09:50 +0100,2006/07/24 06:25:06 +0100,Person 423,2007/02/21 19:50:50 +0100
961,Bug,Closed,Fixed,SQL,Minor,Person 383,2006/02/13 19:37:07 +0100,2008/07/18 21:25:19 +0100,Person 410,2008/09/05 00:10:13 +0100
965,Bug,Closed,Fixed,Network Client; Network Server,Minor,Person 405,2006/02/14 00:42:15 +0100,2006/02/22 08:29:02 +0100,Person 405,2006/03/03 21:16:15 +0100
966,Bug,Closed,Fixed,Network Client,Critical,Person 393,2006/02/14 04:56:37 +0100,2006/02/18 04:05:21 +0100,Person 379,2006/04/25 04:54:58 +0100
972,Bug,Closed,Fixed,Test,Minor,Person 383,2006/02/14 07:42:41 +0100,2006/04/26 07:31:09 +0100,Person 381,2006/04/26 07:31:09 +0100
989,Bug,Closed,Fixed,Test,Minor,Person 428,2006/02/15 21:10:45 +0100,2006/07/03 19:08:49 +0100,Person 394,2006/10/14 09:15:12 +0100
990,Bug,Closed,Fixed,Store; Test,Minor,Person 428,2006/02/15 22:24:10 +0100,2006/04/14 02:07:34 +0100,Person 395,2006/04/14 03:21:11 +0100
998,Bug,Closed,Fixed,Test,Trivial,Person 383,2006/02/17 13:30:14 +0100,2006/07/12 02:37:27 +0100,Person 401,2007/05/14 18:15:37 +0100
1007,Bug,Closed,Fixed,,Minor,Person 472,2006/02/18 11:22:12 +0100,2006/03/01 12:11:00 +0100,Person 472,2006/05/26 05:22:00 +0100
1009,Bug,Closed,Fixed,JDBC,Major,Person 379,2006/02/19 04:27:21 +0100,2006/02/19 04:27:21 +0100,Person 379,2006/04/25 05:01:23 +0100
1037,Bug,Closed,Fixed,Test,Minor,Person 383,2006/02/23 14:25:27 +0100,2006/03/15 09:43:25 +0100,Person 383,2006/03/16 08:48:22 +0100
1045,Bug,Closed,Fixed,Build tools; JDBC,Major,Person 387,2006/02/24 10:57:24 +0100,2006/02/28 09:08:21 +0100,Person 385,2006/02/28 09:08:21 +0100
1046,Bug,Closed,Fixed,Build tools,Minor,Person 394,2006/02/24 18:53:23 +0100,2011/09/27 18:32:35 +0100,Person 393,2011/09/30 20:17:40 +0100
1052,Bug,Closed,Fixed,Test,Major,Person 383,2006/02/25 03:57:32 +0100,2006/03/09 06:35:48 +0100,Person 383,2006/03/16 08:55:32 +0100
1055,Bug,Closed,Fixed,Network Client,Minor,Person 381,2006/02/26 11:48:47 +0100,2006/02/26 11:48:47 +0100,Person 381,2006/05/05 06:23:30 +0100
1062,Improvement,Closed,Fixed,SQL; Store,Minor,Person 395,2006/02/28 08:24:13 +0100,2008/05/01 17:53:01 +0100,Person 380,2008/07/22 16:01:08 +0100
1064,Bug,Closed,Fixed,SQL,Major,Person 414,2006/02/28 09:22:25 +0100,2006/06/16 16:43:10 +0100,Person 388,2006/07/07 16:35:44 +0100
1072,Bug,Closed,Fixed,SQL,Minor,Person 429,2006/03/02 04:05:04 +0100,2006/03/15 21:02:00 +0100,Person 420,2006/09/07 18:24:12 +0100
1089,Bug,Closed,Fixed,SQL,Major,Person 430,2006/03/09 03:39:54 +0100,2006/11/12 18:13:10 +0100,Person 410,2006/11/23 21:45:13 +0100
1091,Bug,Closed,Fixed,Test,Minor,Person 378,2006/03/09 07:04:15 +0100,2006/05/25 00:45:55 +0100,Person 383,2006/07/31 19:05:11 +0100
1101,Bug,Closed,Fixed,JDBC,Minor,Person 379,2006/03/13 05:34:16 +0100,2006/03/23 16:40:13 +0100,Person 394,2006/04/06 15:55:49 +0100
1107,Bug,Closed,Fixed,JDBC,Major,Person 393,2006/03/14 07:48:45 +0100,2008/10/23 00:37:03 +0100,Person 393,2008/11/10 18:20:00 +0100
1113,Bug,Closed,Fixed,Store,Critical,Person 387,2006/03/15 05:18:11 +0100,2006/04/13 02:44:58 +0100,Person 387,2006/04/21 07:06:37 +0100
1127,Bug,Closed,Fixed,Network Client,Major,Person 383,2006/03/19 23:50:44 +0100,2006/04/25 04:57:47 +0100,Person 381,2006/04/25 04:57:47 +0100
1128,Bug,Closed,Fixed,Test,Minor,Person 394,2006/03/20 00:50:19 +0100,2006/03/20 00:50:19 +0100,Person 394,2006/03/20 01:06:50 +0100
1129,Bug,Closed,Fixed,Test,Major,Person 428,2006/03/20 18:08:34 +0100,2006/04/29 03:28:58 +0100,Person 418,2007/05/15 22:18:00 +0100
1132,Bug,Closed,Fixed,JDBC,Major,Person 431,2006/03/21 03:28:01 +0100,2006/11/14 16:10:41 +0100,Person 432,2007/03/12 19:55:20 +0100
1144,Bug,Closed,Fixed,Network Client,Major,Person 393,2006/03/24 04:24:01 +0100,2006/03/24 04:24:01 +0100,Person 393,2006/04/25 05:00:03 +0100
1152,Bug,Closed,Fixed,Test,Major,Person 418,2006/03/28 03:10:13 +0100,2006/03/28 03:11:01 +0100,Person 410,2006/04/05 04:02:16 +0100
1154,Bug,Closed,Fixed,Test,Minor,Person 472,2006/03/28 10:36:19 +0100,2006/05/16 07:16:39 +0100,Person 381,2006/05/16 07:16:39 +0100
1155,Improvement,Closed,Fixed,JDBC,Major,Person 433,2006/03/28 20:12:37 +0100,2006/03/28 20:12:37 +0100,Person 433,2006/04/14 06:19:21 +0100
1156,Improvement,Closed,Fixed,Store,Minor,Person 395,2006/03/28 20:18:24 +0100,2006/03/30 04:58:25 +0100,Person 387,2006/08/30 00:04:49 +0100
1157,Improvement,Closed,Fixed,Test,Minor,Person 394,2006/03/29 00:12:59 +0100,2006/03/29 00:12:59 +0100,Person 394,2006/03/29 22:41:19 +0100
1159,Bug,Closed,Fixed,JDBC,Minor,Person 379,2006/03/29 05:20:01 +0100,2006/03/29 05:20:01 +0100,Person 379,2006/04/25 04:58:34 +0100
1174,Bug,Closed,Fixed,Network Server,Minor,Person 417,2006/04/02 06:23:05 +0100,2006/04/02 06:23:05 +0100,Person 417,2006/04/27 13:19:47 +0100
1187,Bug,Closed,Fixed,Store,Minor,Person 395,2006/04/07 07:45:43 +0100,2006/04/07 07:46:04 +0100,Person 395,2006/04/08 07:31:50 +0100
1190,Bug,Closed,Fixed,Network Server,Minor,Person 434,2006/04/07 19:20:05 +0100,2006/04/07 19:20:05 +0100,Person 434,2006/04/08 06:22:13 +0100
1203,Bug,Closed,Fixed,Documentation,Minor,Person 435,2006/04/11 22:54:41 +0100,2006/04/13 06:10:32 +0100,Person 435,2006/04/13 06:10:32 +0100
1216,Improvement,Closed,Fixed,Tools,Minor,Person 385,2006/04/14 11:04:22 +0100,null,Unassigned,2006/04/19 07:55:51 +0100
1219,Bug,Closed,Fixed,Network Client; Network Server,Minor,Person 393,2006/04/14 11:11:22 +0100,2006/05/16 06:33:46 +0100,Person 413,2006/05/16 07:36:41 +0100
1230,Improvement,Closed,Fixed,Test; Tools,Trivial,Person 428,2006/04/20 18:06:56 +0100,2006/04/20 18:06:56 +0100,Person 428,2006/05/15 15:16:07 +0100
1231,Bug,Closed,Fixed,JDBC; SQL,Major,Person 384,2006/04/20 19:02:56 +0100,2006/12/05 08:25:32 +0100,Person 425,2006/12/06 12:46:23 +0100
1235,Improvement,Closed,Fixed,JDBC,Major,Person 418,2006/04/21 01:11:09 +0100,2006/04/25 21:49:30 +0100,Person 384,2006/05/02 21:53:36 +0100
1236,Improvement,Closed,Fixed,JDBC,Major,Person 418,2006/04/21 01:14:30 +0100,2006/04/25 19:16:14 +0100,Person 384,2006/04/25 22:12:25 +0100
1248,Bug,Closed,Fixed,Store,Major,Person 394,2006/04/24 20:40:55 +0100,2006/07/11 15:20:52 +0100,Person 395,2006/08/10 15:36:48 +0100
1252,Bug,Closed,Fixed,JDBC; Network Client; Network Server,Minor,Person 405,2006/04/26 05:59:41 +0100,2006/08/01 15:23:08 +0100,Person 405,2006/08/03 21:37:42 +0100
1254,Bug,Closed,Fixed,JDBC,Major,Person 422,2006/04/26 23:06:03 +0100,2006/04/27 19:54:18 +0100,Person 412,2006/05/18 18:05:25 +0100
1255,Improvement,Closed,Fixed,JDBC,Major,Person 418,2006/04/26 23:16:04 +0100,2006/05/02 18:22:53 +0100,Person 433,2006/05/18 21:58:58 +0100
1266,Bug,Closed,Fixed,Network Client,Minor,Person 405,2006/04/29 00:35:07 +0100,2006/05/03 08:06:42 +0100,Person 401,2006/05/09 06:39:09 +0100
1274,Bug,Closed,Fixed,Network Server,Major,Person 393,2006/05/02 11:57:18 +0100,2006/07/03 20:34:36 +0100,Person 388,2006/07/14 11:14:04 +0100
1276,Improvement,Closed,Fixed,SQL,Minor,Person 406,2006/05/02 17:18:53 +0100,2006/05/02 17:18:53 +0100,Person 406,2006/05/24 05:48:23 +0100
1290,Bug,Closed,Fixed,Test,Minor,Person 413,2006/05/05 07:40:31 +0100,2006/05/05 07:40:31 +0100,Person 413,2006/06/13 03:21:52 +0100
