issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
755,Bug,Closed,Fixed,,Major,Person 82,2008/07/24 19:02:12 +0100,null,Unassigned,2008/07/24 19:45:26 +0100
763,Bug,Closed,Fixed,C-1,Major,Person 58,2008/07/28 05:07:30 +0100,2008/07/28 05:07:30 +0100,Person 58,2008/07/28 09:10:20 +0100
765,Bug,Closed,Fixed,C-1,Major,Person 84,2008/07/29 05:02:15 +0100,2008/07/29 07:08:47 +0100,Person 58,2008/07/29 08:03:03 +0100
794,Bug,Closed,Fixed,C-1,Major,Person 92,2008/08/08 04:02:15 +0100,2008/08/28 06:28:53 +0100,Person 71,2008/09/07 17:58:04 +0100
795,Bug,Closed,Fixed,C-19,Major,Person 60,2008/08/08 06:48:57 +0100,2008/08/08 06:48:57 +0100,Person 60,2008/08/08 06:57:28 +0100
807,Bug,Closed,Fixed,C-10,Major,Person 93,2008/08/10 23:22:11 +0100,2008/09/25 10:00:40 +0100,Person 58,2008/09/26 00:27:51 +0100
811,Bug,Closed,Fixed,C-1; C-5,Major,Person 82,2008/08/11 17:45:49 +0100,2008/08/11 18:43:12 +0100,Person 60,2008/08/11 18:43:50 +0100
815,Improvement,Closed,Fixed,C-1,Major,Person 58,2008/08/12 14:57:10 +0100,2008/08/12 14:57:10 +0100,Person 58,2008/08/12 15:00:28 +0100
818,Bug,Closed,Fixed,C-1,Major,Person 82,2008/08/13 12:25:14 +0100,2008/08/13 14:21:27 +0100,Person 58,2008/08/15 08:49:42 +0100
828,Improvement,Closed,Fixed,C-1,Major,Person 71,2008/08/16 09:27:21 +0100,2008/09/24 20:07:34 +0100,Person 71,2008/11/27 21:41:14 +0100
834,Bug,Closed,Fixed,C-ftp,Major,Person 94,2008/08/18 14:09:07 +0100,2008/08/19 05:03:53 +0100,Person 71,2008/08/20 05:08:19 +0100
839,Improvement,Closed,Fixed,C-1,Minor,Person 71,2008/08/21 10:43:47 +0100,2008/08/21 10:43:47 +0100,Person 71,2008/08/23 09:55:24 +0100
847,Improvement,Closed,Fixed,C-19,Major,Person 71,2008/08/25 12:03:11 +0100,2008/08/25 12:03:11 +0100,Person 71,2008/08/26 06:40:17 +0100
873,Bug,Closed,Fixed,C-19,Major,Person 58,2008/09/01 10:27:18 +0100,2008/09/01 10:27:18 +0100,Person 58,2008/09/03 08:00:07 +0100
876,Improvement,Closed,Fixed,C-1,Major,Person 71,2008/09/03 08:44:09 +0100,2008/09/04 12:01:04 +0100,Person 65,2008/09/15 16:18:20 +0100
877,Improvement,Closed,Fixed,C-10; C-9,Major,Person 95,2008/09/03 13:37:18 +0100,2008/10/04 02:49:11 +0100,Person 58,2008/10/06 15:08:33 +0100
881,Bug,Closed,Fixed,C-19,Minor,Person 71,2008/09/07 14:32:28 +0100,2008/09/07 14:32:28 +0100,Person 71,2008/09/07 14:53:33 +0100
882,Bug,Closed,Fixed,C-ftp,Major,Person 92,2008/09/07 22:51:51 +0100,2008/09/08 01:53:07 +0100,Person 58,2008/09/08 02:10:40 +0100
886,Bug,Closed,Fixed,C-1,Major,Person 96,2008/09/09 17:12:34 +0100,2008/09/15 20:12:52 +0100,Person 82,2008/09/15 20:19:35 +0100
902,Bug,Closed,Fixed,C-1,Major,Person 58,2008/09/15 08:05:14 +0100,2008/09/15 08:05:14 +0100,Person 58,2008/09/16 05:46:10 +0100
906,Bug,Closed,Fixed,C-6,Major,Person 71,2008/09/16 08:36:50 +0100,2008/09/16 08:36:50 +0100,Person 71,2008/09/16 09:45:51 +0100
912,Bug,Closed,Fixed,,Major,Person 97,2008/09/16 23:16:34 +0100,2008/09/17 01:36:22 +0100,Person 58,2008/09/17 01:38:59 +0100
920,Bug,Closed,Fixed,C-1,Critical,Person 98,2008/09/19 09:47:15 +0100,2008/09/19 10:35:20 +0100,Person 71,2008/09/19 19:59:39 +0100
922,Bug,Closed,Fixed,C-21,Major,Person 60,2008/09/19 17:06:50 +0100,2008/09/19 17:06:50 +0100,Person 60,2008/09/19 21:37:25 +0100
944,Improvement,Closed,Fixed,C-1,Minor,Person 71,2008/09/28 12:41:58 +0100,2008/09/28 12:41:58 +0100,Person 71,2008/09/28 19:27:23 +0100
