issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
864,Bug,Resolved,Fixed,W,Major,Person 589,2007/08/20 12:29:36 +0100,null,Unassigned,2007/08/26 18:22:02 +0100
871,Bug,Resolved,Fixed,,Major,Person 559,2007/08/22 13:11:48 +0100,null,Unassigned,2007/08/31 04:58:32 +0100
872,Bug,Resolved,Fixed,W,Major,Person 590,2007/08/22 18:01:57 +0100,2007/08/23 14:57:40 +0100,Person 532,2007/08/23 14:57:40 +0100
880,Improvement,Resolved,Fixed,W-datetime,Minor,Person 591,2007/08/23 22:44:17 +0100,2007/09/25 15:28:39 +0100,Unassigned,2007/09/25 18:49:51 +0100
884,Improvement,Resolved,Fixed,W-extensions,Major,Person 592,2007/08/25 01:40:56 +0100,null,Unassigned,2007/09/18 19:58:58 +0100
886,Bug,Resolved,Fixed,W,Major,Person 561,2007/08/25 12:42:20 +0100,2007/08/27 06:59:06 +0100,Person 529,2007/08/27 06:59:06 +0100
887,Bug,Resolved,Fixed,W,Major,Person 561,2007/08/25 13:16:44 +0100,2007/08/27 07:34:22 +0100,Person 529,2007/08/27 07:34:22 +0100
895,Bug,Resolved,Fixed,W-extensions,Major,Person 593,2007/08/27 14:04:10 +0100,2007/08/27 17:33:26 +0100,Person 557,2007/09/01 23:23:48 +0100
903,Bug,Resolved,Fixed,W,Critical,Person 549,2007/08/28 18:38:39 +0100,2007/08/28 18:44:12 +0100,Person 531,2007/08/29 10:05:44 +0100
908,Bug,Resolved,Fixed,W,Critical,Person 594,2007/08/31 08:56:59 +0100,2007/09/01 07:49:01 +0100,Person 522,2007/09/01 07:49:01 +0100
909,Bug,Resolved,Fixed,W-extensions,Minor,Person 595,2007/08/31 12:24:15 +0100,2007/08/31 13:01:46 +0100,Person 557,2007/09/01 23:46:12 +0100
914,Bug,Resolved,Fixed,W-extensions,Major,Person 596,2007/08/31 23:52:28 +0100,2007/09/01 11:55:16 +0100,Person 557,2007/09/01 12:19:51 +0100
916,Bug,Closed,Fixed,W,Minor,Person 571,2007/09/01 07:09:06 +0100,2007/10/13 14:51:32 +0100,Unassigned,2007/10/13 21:36:21 +0100
917,Improvement,Resolved,Fixed,W,Trivial,Person 588,2007/09/01 22:16:18 +0100,2007/09/07 07:37:44 +0100,Person 529,2007/09/07 07:38:14 +0100
925,Bug,Resolved,Fixed,W,Major,Person 597,2007/09/04 12:07:57 +0100,2007/09/05 02:34:30 +0100,Person 557,2007/09/16 14:07:59 +0100
932,Bug,Resolved,Fixed,W-extensions,Minor,Person 598,2007/09/05 15:28:01 +0100,2008/03/23 02:29:27 +0100,Person 524,2008/03/23 22:53:37 +0100
946,Bug,Resolved,Fixed,W,Major,Person 599,2007/09/08 22:15:06 +0100,2007/09/12 06:34:10 +0100,Person 529,2007/09/15 22:03:19 +0100
954,Bug,Resolved,Fixed,W,Major,Person 531,2007/09/11 05:35:43 +0100,2007/09/11 05:35:43 +0100,Person 531,2007/09/11 05:36:09 +0100
960,Bug,Closed,Fixed,W-extensions,Trivial,Person 600,2007/09/12 09:57:54 +0100,2007/09/20 07:43:31 +0100,Person 529,2007/09/20 08:01:13 +0100
977,Bug,Resolved,Fixed,W-examples,Major,Person 601,2007/09/15 08:01:02 +0100,2007/09/24 17:44:28 +0100,Person 527,2007/09/24 21:29:02 +0100
986,Improvement,Resolved,Fixed,W,Minor,Person 602,2007/09/19 00:31:42 +0100,2007/09/19 03:02:28 +0100,Person 529,2007/09/19 03:02:40 +0100
991,Bug,Closed,Fixed,W,Major,Person 558,2007/09/20 16:54:28 +0100,2007/11/03 20:37:57 +0100,Person 536,2007/11/03 20:54:56 +0100
1007,Bug,Resolved,Fixed,W-datetime,Major,Person 603,2007/09/25 14:34:12 +0100,2007/09/25 20:30:43 +0100,Unassigned,2007/09/25 20:32:03 +0100
1037,Bug,Resolved,Fixed,W,Minor,Person 604,2007/10/03 16:40:59 +0100,null,Unassigned,2007/10/13 15:17:23 +0100
1040,Bug,Resolved,Fixed,W-datetime,Minor,Person 605,2007/10/04 15:19:22 +0100,2007/11/03 22:17:10 +0100,Unassigned,2007/11/03 22:19:50 +0100
1041,Improvement,Resolved,Fixed,W,Trivial,Person 572,2007/10/04 21:00:21 +0100,2007/10/06 20:57:27 +0100,Person 529,2007/10/06 20:57:31 +0100
1043,Improvement,Closed,Fixed,W,Trivial,Person 530,2007/10/05 10:06:35 +0100,2007/10/14 01:01:52 +0100,Unassigned,2008/01/20 16:31:29 +0100
1046,Bug,Resolved,Fixed,W,Major,Person 571,2007/10/05 23:04:45 +0100,null,Unassigned,2007/10/05 23:12:50 +0100
1051,Bug,Resolved,Fixed,W,Major,Person 603,2007/10/08 21:54:20 +0100,2007/10/14 09:30:55 +0100,Person 522,2007/10/14 09:30:55 +0100
1052,Improvement,Resolved,Fixed,W,Minor,Person 602,2007/10/08 23:42:01 +0100,2007/10/14 22:36:00 +0100,Person 529,2007/10/14 22:36:00 +0100
